strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2021-01-12 19:00,2021-01-12 21:00,34164.8334,34719.03,150955481.670134,78286968646.54,5372053594.19,1.518,2,grid TP hit (34677.31)
grid,long,2021-01-12 22:00,2021-01-12 23:00,33237.0323,34051.24,170906315.301779,133260921287.98,5892316609.35,2.346,1,grid TP hit (33735.59)
grid,long,2021-01-13 00:00,2021-01-13 01:00,32038.6025,33124.06,195427333.149495,205573800929.37,6554263542.74,3.283,1,grid TP hit (32519.18)
grid,long,2021-01-13 03:00,2021-01-13 07:00,33311.2225,34986.9,207355697.230308,339843806650.04,7617469695.6,4.92,4,grid TP hit (33810.89)
grid,long,2021-01-13 08:00,2021-01-13 10:00,34001.4022,34923.0,224440526.411581,198809816677.31,8034089916.47,2.605,2,grid TP hit (34511.42)
grid,long,2021-01-13 11:00,2021-01-13 13:00,33869.6978,34575.5,248409057.532649,166524070253.53,8803589052.94,1.979,2,grid TP hit (34377.74)
grid,long,2021-01-13 14:00,2021-01-13 15:00,33746.7895,34673.9,274713680.049755,245045475163.71,9644462104.06,2.643,1,grid TP hit (34252.99)
grid,long,2021-01-13 16:00,2021-01-13 17:00,34261.3929,34821.48,298334417.214935,156574957051.46,10518301516.64,1.532,1,grid TP hit (34775.31)
dca,long,2021-01-12 13:00,2021-01-13 18:00,33291.06,35719.36,190774721.912552,453973704022.41,9284553197.84,7.148,29,DCA target hit (35288.52)
grid,long,2021-01-13 18:00,2021-01-13 19:00,35183.5696,36002.25,319982407.714807,250299237819.79,11664087721.13,2.223,1,grid TP hit (35711.32)
grid,long,2021-01-13 20:00,2021-01-13 21:00,35678.7389,37299.49,366838817.241629,580700461169.87,13853937055.26,4.437,1,grid TP hit (36213.92)
grid,long,2021-01-13 22:00,2021-01-15 09:00,36645.812,38679.36,394422758.813431,780147103482.69,21930528577.99,5.397,35,grid TP hit (37195.50)
grid,long,2021-01-15 10:00,2021-01-15 15:00,37865.2617,35610.72,421914575.340808,-967187707267.19,15963724419.28,-6.054,5,grid SL hit (36729.30)
ema,short,2021-01-15 19:00,2021-01-15 23:00,35217.26,36742.22,2480713130.524029,-3878692548502.45,95704252978.53,-4.44,4,SL hit (36627.76)
grid,long,2021-01-16 12:00,2021-01-16 15:00,36796.7928,37461.99,701489673.828789,439364332820.25,27264669114.06,1.702,3,grid TP hit (37348.74)
grid,long,2021-01-16 16:00,2021-01-18 03:00,36672.9388,35106.25,775372337.92827,-1253896543192.09,39129346761.44,-4.41,35,grid SL hit (35572.75)
grid,long,2021-01-18 04:00,2021-01-18 05:00,34605.1283,35344.5,900169104.437226,633345788778.6,32213727248.18,2.033,1,grid TP hit (35124.21)
grid,long,2021-01-18 06:00,2021-01-18 07:00,34667.5183,36104.61,990141071.533684,1386728049789.1,36195515448.11,4.04,1,grid TP hit (35187.53)
grid,long,2021-01-18 08:00,2021-01-18 09:00,35689.6922,36574.61,1061750465.836606,900243416394.27,39318523070.36,2.376,1,grid TP hit (36225.04)
grid,long,2021-01-18 10:00,2021-01-18 11:00,35673.3806,36442.08,1170876892.94765,856849869356.08,43202554270.49,2.051,1,grid TP hit (36208.48)
grid,long,2021-01-18 12:00,2021-01-19 07:00,36426.679,37168.82,1263567253.838681,879625501859.01,58119563472.08,1.911,19,grid TP hit (36973.08)
grid,long,2021-01-19 08:00,2021-01-19 11:00,36639.7542,37266.49,1384116119.967129,813959681089.01,53515442651.48,1.605,3,grid TP hit (37189.35)
grid,long,2021-01-19 12:00,2021-01-19 13:00,36230.4374,37082.52,1541835274.266211,1255881105564.59,57889826612.12,2.248,1,grid TP hit (36773.89)
grid,long,2021-01-19 14:00,2021-01-19 15:00,36437.4451,37329.4,1689676787.112337,1443252520749.9,63863053415.04,2.344,1,grid TP hit (36984.01)
grid,long,2021-01-19 16:00,2021-01-20 03:00,36805.6085,35062.49,1843806606.063847,-3287511018108.63,73537612656.52,-4.844,11,grid SL hit (35701.44)
grid,long,2021-01-20 04:00,2021-01-20 05:00,34722.5896,35477.18,2140195475.441427,1538093758522.65,76877201368.89,2.07,1,grid TP hit (35243.43)
grid,long,2021-01-20 06:00,2021-01-20 07:00,34733.986,35677.14,2357656849.931827,2138467486581.95,85165884175.81,2.611,1,grid TP hit (35255.00)
grid,long,2021-01-20 08:00,2021-01-22 22:00,34943.3182,32835.29,2583771786.369645,-5597252957441.36,150589040221.2,-6.199,62,grid SL hit (33895.02)
dca,long,2021-01-15 14:00,2021-01-22 22:00,36939.49,32835.29,648667924.163927,-2730420332445.17,68157438091.59,-11.395,176,DCA SL hit (34353.73)
