strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2026-01-13 06:00,2026-01-13 08:00,4521.6425,4601.6,1.49958,93.36,26.54,1.377,2,grid TP hit (4589.47)
grid,long,2026-01-13 09:00,2026-01-13 10:00,4526.272,4595.0,1.499539,76.52,26.54,1.127,1,grid TP hit (4594.17)
grid,long,2026-01-13 11:00,2026-01-13 12:00,4527.9465,4602.0,1.500104,84.55,26.54,1.245,1,grid TP hit (4595.87)
grid,long,2026-01-13 13:00,2026-01-13 14:00,4550.2075,4638.9,1.494056,105.96,26.55,1.559,1,grid TP hit (4618.46)
grid,long,2026-01-13 15:00,2026-01-14 01:00,4558.186,4626.7,1.493199,75.76,26.54,1.113,9,grid TP hit (4626.56)
grid,long,2026-01-14 02:00,2026-01-14 03:00,4559.6635,4636.5,1.49381,88.23,26.55,1.295,1,grid TP hit (4628.06)
grid,long,2026-01-14 04:00,2026-01-14 06:00,4566.46,4644.5,1.492954,89.96,26.55,1.319,2,grid TP hit (4634.96)
grid,long,2026-01-14 07:00,2026-01-14 08:00,4570.1045,4641.8,1.493166,80.5,26.55,1.18,1,grid TP hit (4638.66)
grid,long,2026-01-14 09:00,2026-01-14 10:00,4568.3315,4641.2,1.494943,82.38,26.56,1.206,1,grid TP hit (4636.86)
grid,long,2026-01-14 11:00,2026-01-14 12:00,4568.9225,4646.9,1.495987,90.09,26.56,1.318,1,grid TP hit (4637.46)
grid,long,2026-01-14 13:00,2026-01-14 19:00,4574.143,4646.7,1.495685,81.96,26.56,1.198,6,grid TP hit (4642.76)
ema,long,2026-01-20 05:00,2026-01-21 01:00,4720.6,4838.5,6.524379,732.18,37.05,2.377,19,TP hit (4797.25)
grid,long,2026-01-14 20:00,2026-01-22 08:00,4569.612,4832.2,1.498396,366.78,26.68,5.357,98,grid TP hit (4638.16)
grid,long,2026-01-22 09:00,2026-01-22 10:00,4752.034,4831.0,1.46275,88.9,26.61,1.279,1,grid TP hit (4823.31)
grid,long,2026-01-22 11:00,2026-01-22 14:00,4760.702,4836.7,1.461411,84.45,26.61,1.214,3,grid TP hit (4832.11)
